no_correlativo,pc_delantero_arriba1,pc_delantero_arriba2,pc_delantero_abajo1,pc_delantero_abajo2,pc_trasero_arriba1,pc_trasero_arriba2,pc_trasero_abajo1,pc_trasero_abajo2
63,,,,,,,,
65,,,,,,,,
66,,,,,,,,
67,,,,,,,,
68,67,66,46,46,6,70,,
69,,,,,,,,
71,,,,,,,,
73,,,,,,,,
74,,,,,,,,
75,,,,,,,,
76,35,35,31,31,49,49,13,13
77,,,,,,,,
78,,,,,,,,
81,,,,,,,,
82,,,,,,,,
83,,,,,,,,
85,,,,,,,,
86,,,,,,,,
87,,,,,,,,
406,,,,,,,,
407,,,,,,,,
408,,,,,,,,
409,,,,,,,,
411,,,,,,,,
412,,,,,,,,
413,,,,,,,,
415,,,,,,,,
416,,,,,,,,
417,,,,,,,,
418,59,19,46,46,71,71,32,32
419,,,,,,,,
420,,,,,,,,
421,,,,,,,,
422,,,,,,,,
423,,,,,,,,
424,,,,,,,,
427,,,,,,,,
428,,,,,,,,
429,,,,,,,,
430,,,,,,,,
431,,,,,,,,
432,,,,,,,,
623,,,,,,,,
625,,,,,,,,
626,39,27,58,20,68,12,49,26
628,58,58,22,22,58,51,49,49
629,,,,,,,,
631,,,,,,,,
665,,,,,,,,
666,,,,,,,,
667,,,,,,,,
668,,,,,,,,
669,,,,,,,,
670,,,,,,,,
671,,,,,,,,
672,,,,,,,,
673,,,,,,,,
674,,,,,,,,
675,,,,,,,,
676,,,,,,,,
677,,,,,,,,
711,,,,,,,,
712,,,,,,,,
714,,,,,,,,
787,,,,,,,,
788,,,,,,,,
789,,,,,,,,
790,,,,,,,,
792,,,,,,,,
793,,,,,,,,
794,,,,,,,,
796,,,,,,,,
798,,,,,,,,
799,25,16,60,60,31,31,38,38
800,,,,,,,,
801,,,,,,,,
802,,,,,,,,
803,,,,,,,,
804,,,,,,,,
805,,,,,,,,
808,,,,,,,,
809,,,,,,,,
810,,,,,,,,
811,,,,,,,,
812,,,,,,,,
813,,,,,,,,
935,,,,,,,,
936,,,,,,,,
937,,,,,,,,
938,,,,,,,,
940,,,,,,,,
941,,,,,,,,
942,,,,,,,,
945,,,,,,,,
946,,,,,,,,
947,,,,,,,,
948,,,,,,,,
1217,,,,,,,,
1218,,,,,,,,
1219,,,,,,,,
1220,,,,,,,,
1222,,,,,,,,
1223,,,,,,,,
1224,,,,,,,,
1226,,,,,,,,
1227,,,,,,,,
1228,,,,,,,,
1230,,,,,,,,
1231,,,,,,,,
1232,,,,,,,,
1233,,,,,,,,
1234,,,,,,,,
